Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
kroC100.tsp,149356,144288,26205,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351,23351
kroC100.tsp,150050,143667,25584,23919,23634,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632
kroC100.tsp,149661,146406,27020,24018,24018,24018,24018,24018,24018,24018,24018,24018,24018,23931,23931,23931,23931,23931,23931,23931,23931
kroC100.tsp,150066,142677,25372,23468,23258,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154,23154
kroC100.tsp,145309,147365,25361,23249,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937,22937
kroC100.tsp,148783,146720,25913,21851,21702,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695,21695
kroC100.tsp,146091,143835,26803,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748
kroC100.tsp,139884,139215,26259,23563,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755,22755
kroC100.tsp,151937,147342,25111,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885,22885
kroC100.tsp,154641,140856,26087,22312,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546,21546
kroC100.tsp,143522,140911,27003,22743,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087,22087
kroC100.tsp,150029,148693,25188,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310,23310
kroC100.tsp,147755,135285,25322,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728,22728
